nombre,apellidos,nif,telefono,email,categoria,description,urgencia,fecha,direccion_persona,ubicacion_incidencia
Rosa,Núñez Rodríguez,45167429Y,931315752,rosa_nunez26@yahoo.es,Otros,Pintada en forma de rótulos obscenos en la pared de mi casa en Calle Navas. Llevaba 3 dias y no se quita.,1,2026-01-01T15:52:55+01:00,"Calle Sierpe 106, 5ºA, 18004 Granada","37.176511, -3.588882 - Bajo la marquesina del autobús"
Alberto,González García,59304412Q,983389471,alberto_gonzalez23@live.com,Limpieza,"Hay papeles de caramelos y bolsas de plástico esparcidas en la acera de la Calle Reyes Católicos, frente a la farmacia. Es poco, pero afea la zona.",1,2026-01-01T16:47:58+01:00,"Calle Elvira 66, 3ºB, 18014 Granada","37.180986, -3.589903 - Frente a la farmacia"
Javier,Marín López,21500031E,985590542,javier_marin33@live.com,Limpieza,"El contenedor de reciclaje en Plazuela de Fajalauza esta algo lleno, con botellas apiladas. Cabe mas, pero empieza a rebozar.",2,2026-01-01T20:58:51+01:00,"Calle Gonzalo Gallas 29, 3ºB, 18006 Granada","37.195520, -3.616094 - En la rotonda"
Josefa,Cortés Martínez,67375010Y,773400788,jcortes939@gmail.com,Limpieza,"Hay basura acumulada hace 4 días en la calle Darío Salas, junto a los aparcamientos. Bolsas rotas, restos de comida y periódicos viejos.",3,2026-01-01T21:26:04+01:00,"Calle Gonzalo Gallas 84, 4ºB, 18009 Granada","37.167973, -3.593403 - Frente a la farmacia"
Rocío,Navarro Guerrero,71422036K,761307077,rocionavarro762@gmail.com,Parques y Jardines,"El cesped del parque de la Virgen del Carmen está completamente crecido, lleno de hierba alta y maleza. Hace falta una buena pasada de cortacespedes.",1,2026-01-02T09:19:32+01:00,"Paseo de la Bomba 26, 3ºC, 18011 Granada","37.190636, -3.596631 - Junto al centro de salud"
Miguel,Garrido Herrera,53064793K,986087913,mgarrido367@hotmail.es,Movilidad,La señal de límite de velocidad en Avenida de la Constitución esta borrosa y casi no se ve. Lleva así varios meses y es peligroso para los nuevos conductores.,1,2026-01-02T09:45:08+01:00,"Calle Ángel Ganivet 43, 4ºA, 18009 Granada","37.181648, -3.578850 - Frente al supermercado"
Patricia,Blanco García,96701027B,628407271,pblanco999@gmail.com,Limpieza,"Se ha producido un vertido de aceite de motor en la Calle Navas, sobre la calzada. Hay un charco oscuro que puede causar accidentes, especialmente a motocicletas.",4,2026-01-02T11:44:33+01:00,"Camino de Ronda 107, 3ºB, 18008 Granada","37.173570, -3.597365 - En la rotonda"
Jesús,Flores Díaz,26517685L,711361664,jflores193@gmail.com,Limpieza,"Un envase de productos quimicos peligrosos ha sido abandonado en la zona de juegos infantiles del Parque de las Naciones, a 50 metros del colegio Ramon y Cajal.",5,2026-01-02T13:51:20+01:00,"Calle Ángel Ganivet 26, 3ºD, 18010 Granada","37.156407, -3.600840 - Junto a la parada de autobús"
José,Ruiz Guerrero,28954480X,695742380,jose.ruiz.guerrero@gmail.com,Mobiliario Urbano,"Papelera esquina Calle Reyes Catolicos completamente oxidada y abollada, con agujeros en la base. Esta roto hace meses.",1,2026-01-02T17:24:49+01:00,"Calle Puentezuelas 63, 2ºA, 18009 Granada","37.171438, -3.608699 - En la acera izquierda"
Alejandro,Domínguez López,58689655A,980918090,alejandro.dominguez.lopez@hotmail.es,Limpieza,Papeletas de multas de trafico y envoltorios de chicle en la Avenida de la Constitución. Solo pequeños desperdicios que van volando.,1,2026-01-02T21:32:52+01:00,"Calle Alcaicería 52, 4ºB, 18009 Granada","37.176964, -3.610216 - Frente al supermercado"
Juan,León Blanco,90532953P,915278884,juan.leon281@hotmail.es,Otros,Ruido excesivo en la discoteca de Realejo hasta las 4 de la mañana. Los vecinos no podemos dormir.,3,2026-01-03T01:01:03+01:00,"Calle Profesor Emilio Orozco 86, Bajo A, 18012 Granada","37.180727, -3.572458 - Cerca del cruce con Avenida de la Constitución"
David,Medina Álvarez,14923108H,947970343,david_medina47@hotmail.es,Parques y Jardines,En el Parque Científico hay una rama grande del pino que cuelga peligrosamente sobre la zona de juegos infantiles. Tiene que caerse en cualquier momento.,4,2026-01-03T11:18:42+01:00,"Calle San Juan de Dios 35, 3ºA, 18014 Granada","37.157130, -3.588085 - En la rotonda"
Laura,Alonso Álvarez,88016436J,713172221,lauraalonso618@hotmail.es,Limpieza,"El contenedor de basura organica en Plaza Nueva esta repleto, con algunos restos sobresaliendo. Necesita vaciarse pronto pero aun funciona.",2,2026-01-03T12:21:47+01:00,"Camino de Ronda 106, 2ºC, 18010 Granada","37.175532, -3.570399 - Junto al paso de peatones"
Alberto,Guerrero Molina,91443237K,626782275,alberto_guerrero32@gmail.com,Mobiliario Urbano,"Bolardo frente a la estación de autobuses arrancado de raiz, dejando un hueco profundo muy peligroso para peatones y menores. Urge reparación inmediata.",4,2026-01-03T14:19:28+01:00,"Calle Reyes Católicos 60, 4ºC, 18003 Granada","37.187169, -3.618584 - Junto a la fuente"
Jesús,Prieto Vázquez,60567235R,712406766,jesus_prieto37@hotmail.es,Mobiliario Urbano,Banco de madera en Plaza Nueva con pintura descascarillada y astillas salientes. Peligro para ropa y piel.,2,2026-01-03T15:49:33+01:00,"Calle Gonzalo Gallas 51, 1ºA, 18004 Granada","37.182428, -3.581279 - Frente al portal 67"
Alberto,García Serrano,56101604G,988171133,alberto_garcia98@outlook.es,Limpieza,Acumulacion de botellas rotas y latas en la esquina de Calle Elvira hace ya 5 días. El olor es desagradable y atrae a las palomas.,3,2026-01-03T21:20:51+01:00,"Acera del Darro 22, 5ºA, 18010 Granada","37.157714, -3.591851 - Junto a la fuente"
Jesús,Rubio Gallego,75925621E,662405321,jesus_rubio61@gmail.com,Alumbrado Público,"La farola en la esquina de Calle Ángeles no enciende correctamente, brilla muy debil en las noches. Es peligroso para los vecinos que salen tarde.",1,2026-01-03T21:56:33+01:00,"Avenida de Madrid 6, Bajo B, 18012 Granada","37.199214, -3.609668 - Frente al portal 26"
Miguel,Rivera García,78729878G,972093565,mrivera743@gmail.com,Mobiliario Urbano,Marquesina parada bus Calle Elvira con cristal completamente rajado en forma de telaraña. Riesgo de cortes para usuarios.,3,2026-01-04T08:25:30+01:00,"Camino de Ronda 65, 5ºB, 18005 Granada","37.175049, -3.571344 - En la esquina con Calle Reyes Católicos"
Carlos,Díaz Marín,90777487Y,745697061,carlos.diaz480@hotmail.es,Movilidad,Bache profundo en la calle Príncipes cerca del cruce con Reyes Católicos. Mi bicicleta casi se cae esta mañana cuando pasé.,2,2026-01-04T08:59:56+01:00,"Calle Neptuno 95, 6ºA, 18014 Granada","37.173113, -3.620035 - Al lado del contenedor de reciclaje"
Dolores,Ortiz Cortés,69697126L,792931832,dolores_ortiz55@gmail.com,Movilidad,"El semáforo de peatones en Plaza Nueva parpadea irregularmente. A veces se queda en verde demasiado tiempo, a veces en rojo. Puede aver accidentes.",3,2026-01-04T10:12:18+01:00,"Calle Sierpe 37, 5ºB, 18009 Granada","37.181210, -3.577799 - Junto al paso de peatones"
Daniel,Ramírez Rodríguez,25825132L,699864269,daniel_ramirez29@yahoo.es,Parques y Jardines,El banco de madera junto a la fuente de los Mártires tiene un listón roto y suelto. Alguien podría pincharse o rasguñarse.,2,2026-01-04T14:07:58+01:00,"Calle Gracia 37, 1ºD, 18002 Granada","37.157188, -3.604721 - En la acera derecha"
Rubén,Molina Ramírez,33363043W,939876945,rubenmolina522@hotmail.com,Limpieza,Hay un vertido de liquido blanquecino (posiblemente agua residual sin tratar) en la calle Calderia Nueva. Forma un charco resbaladizo y apesta.,4,2026-01-04T15:01:10+01:00,"Calle San Juan de Dios 105, 1ºB, 18006 Granada","37.169458, -3.602770 - En la acera izquierda"
Alicia,Iglesias Romero,23513693B,626950489,aiglesias11@outlook.es,Movilidad,"Socavón enorme en la carretera de ronda norte, justo antes de la salida a Maracena. Hoy se ha agrandado más y ya toca la otra vía.",5,2026-01-04T17:44:30+01:00,"Calle Ángel Ganivet 115, 1ºC, 18007 Granada","37.166857, -3.600886 - En la acera izquierda"
Óscar,Muñoz Ramírez,33777831P,719182255,oscarmunoz509@gmail.com,Parques y Jardines,El sistema de riego automatico del jardin de los Mártires esta averiado hace más de una semana. Las plantas de la zona oriental estan secas y amarillentas.,3,2026-01-04T22:06:04+01:00,"Paseo del Salón 49, 2ºA, 18012 Granada","37.157342, -3.611462 - Junto al colegio"
Pilar,Serrano Hernández,90474885S,767707351,pilar.serrano.hernandez@live.com,Alumbrado Público,"Hay un cable de electricidad colgando de una farola rota en Paseo del Salón. Esta muy peligroso, podría causar un accidente grave o electrocución.",5,2026-01-04T22:26:49+01:00,"Calle Navas 27, Ático, 18012 Granada","37.197655, -3.608709 - Junto a la fuente"
Juan,Delgado Sánchez,42231238H,793831299,juan_delgado29@live.com,Limpieza,Tambores de material toxico sin identificar han aparecido detras de la Escuela Infantil Los Pececillos. Es extremadamente peligroso para los niños.,5,2026-01-04T23:20:18+01:00,"Calle Elvira 18, Bajo A, 18001 Granada","37.192496, -3.571009 - Cerca del cruce con Calle Mesones"
Jorge,Núñez Ramos,41656884C,764751703,jorgenunez207@outlook.es,Movilidad,La señal de ceda el paso en Calle Navas tiene una esquina rota pero se entiende. Ha estado así desde hace medio año.,1,2026-01-05T03:30:24+01:00,"Calle Alcaicería 78, 2ºC, 18006 Granada","37.177139, -3.597149 - En la rotonda"
